"grid_cell","round","date","prev","N"
360,9,2015-10-04,0,12
360,10,2016-02-10,0,19
361,7,2014-12-26,0,25
361,9,2015-10-03,0,45
361,10,2016-02-11,0,43
362,7,2014-12-26,0,10
362,9,2015-10-04,0,27
362,10,2016-02-13,0,40
363,7,2014-12-26,0,27
363,9,2015-10-04,0,68
363,10,2016-02-12,0,45
364,7,2014-12-26,0,17
364,9,2015-10-05,0,31
364,10,2016-02-13,0,7
365,7,2014-12-27,0,7
365,10,2016-02-13,0,10
366,7,2014-12-27,0,9
366,10,2016-02-13,0,12
367,9,2015-09-14,0,21
367,10,2016-02-25,0,16
368,9,2015-09-14,0,8
369,9,2015-09-13,0,13
369,10,2016-02-25,0,5
370,7,2014-12-24,0,20
370,8,2015-02-11,0,8
370,9,2015-09-13,0,5
370,10,2016-02-14,0,5
371,7,2014-12-23,0,48
371,8,2015-02-11,0,29
371,9,2015-09-12,0,44
371,10,2016-02-15,0,38
372,7,2014-12-17,0,14
372,10,2016-02-15,0,8
373,7,2014-12-12,0,7
373,8,2015-02-10,0,17
373,10,2016-02-14,0,8
374,7,2014-12-12,0,34
374,8,2015-02-10,0,7
374,9,2015-09-10,0,10
374,10,2016-02-14,0,17
375,9,2015-09-11,0,7
376,7,2014-12-21,0,83
376,8,2015-02-09,0,26
376,9,2015-09-08,0,28
376,10,2016-02-16,0,44
377,8,2015-02-05,0,44
377,9,2015-09-08,0,11
377,10,2016-02-15,0,3
378,7,2015-01-06,0,6
378,8,2015-02-05,0.6,20
378,9,2015-09-09,0,20
378,10,2016-02-14,0.125,9
379,7,2014-12-16,0,3
380,7,2014-12-13,0,9
380,10,2016-02-18,0,32
381,10,2016-02-19,0,17
382,7,2014-12-13,0,14
382,10,2016-02-18,0,23
383,10,2016-02-18,0,8
384,9,2014-11-10,0,32
384,10,2016-02-18,0,42
385,7,2014-12-14,0.444444444444444,18
385,9,2015-09-20,0,35
385,10,2016-02-16,0,27
386,7,2014-12-14,0.161290322580645,31
386,9,2015-09-21,0,14
386,10,2016-02-16,0,51
