"grid_cell","mid_x","mid_y","catchment","cluster_id","cluster_dist"
4761,27.8033369551259,-16.8206236029709,"sinafala","80211_4",2.82311652291537
4762,27.8033369551259,-16.8116404501297,"chabbobboma","80202_2",2.67221611892573
4763,27.8033369551259,-16.7757078387649,"chabbobboma","80202_10",1.98744356487101
4764,27.8033369551259,-16.7667246859237,"chabbobboma","80202_10",1.47204916241474
4765,27.8033369551259,-16.7577415330825,"chabbobboma","80202_10",1.54399660510917
4766,27.8033369551259,-16.7487583802413,"chabbobboma","80202_10",2.1449760519906
4767,27.8033369551259,-16.7397752274001,"chabbobboma","80202_10",2.96949810197634
4768,27.8033369551259,-16.640960546147,"munyumbwe","80209_3",1.2891304891289
4769,27.8033369551259,-16.6319773933058,"munyumbwe","80209_3",1.70713829887182
4770,27.8033369551259,-16.6229942404646,"munyumbwe","80209_3",2.48330120967584
4771,27.8033369551259,-16.6140110876234,"munyumbwe","80209_10",2.47935055481855
4772,27.8033369551259,-16.6050279347822,"munyumbwe","80209_10",1.93912390609423
4773,27.8033369551259,-16.5601121705762,NA,"80207_1",1.17506636556987
4774,27.8033369551259,-16.551129017735,NA,"80207_1",1.0526524503306
4775,27.8033369551259,-16.4792637950055,NA,"80207_3",3.41808625906293
4776,27.8033369551259,-16.4343480307995,"moomba","80207_3",4.93102343872959
4777,27.8033369551259,-16.4253648779583,"moomba","80207_3",5.73073532366497
4781,27.8127874014841,-16.8206236029709,"chabbobboma","80202_2",2.34101373338456
4782,27.8127874014841,-16.7757078387649,"chabbobboma","80202_5",2.03397076195454
4783,27.8127874014841,-16.7667246859237,"chabbobboma","80202_5",1.75542060704009
4784,27.8127874014841,-16.7577415330825,"chabbobboma","80202_5",2.00648097530795
4785,27.8127874014841,-16.7487583802413,"chabbobboma","80202_5",2.64015723971869
4786,27.8127874014841,-16.7397752274001,"chabbobboma","80202_5",3.45179584363298
4788,27.8127874014841,-16.6768931575118,"munyumbwe","80209_3",3.88355250878292
4789,27.8127874014841,-16.640960546147,"munyumbwe","80209_3",0.302557114783061
4790,27.8127874014841,-16.6319773933058,"munyumbwe","80209_3",1.15928037351644
4791,27.8127874014841,-16.6140110876234,"munyumbwe","80209_10",1.87414929847889
4792,27.8127874014841,-16.6050279347822,"munyumbwe","80209_10",1.06081795950865
4793,27.8127874014841,-16.596044781941,"munyumbwe","80209_10",0.859205378758648
4794,27.8127874014841,-16.5601121705762,NA,"80207_1",0.636706906456269
4795,27.8127874014841,-16.551129017735,NA,"80207_1",0.364206592573064
4796,27.8127874014841,-16.4343480307995,"moomba","80207_3",4.34769393532061
4797,27.8127874014841,-16.4253648779583,"moomba","80207_3",5.23722515430935
4802,27.8222378478424,-16.8206236029709,"chabbobboma","80202_2",1.83171804195238
4803,27.8222378478424,-16.8116404501297,"chabbobboma","80202_2",0.928349146977414
4804,27.8222378478424,-16.8026572972885,"chabbobboma","80202_2",0.607020005591243
4805,27.8222378478424,-16.7757078387649,"chabbobboma","80202_5",1.27113767762176
4806,27.8222378478424,-16.7577415330825,"chabbobboma","80202_5",1.22657312738826
4807,27.8222378478424,-16.6948594631941,"chabbobboma","80209_3",5.91934971946824
4808,27.8222378478424,-16.6679100046706,"munyumbwe","80209_3",2.96579443868013
4809,27.8222378478424,-16.640960546147,"munyumbwe","80209_3",0.743755419673103
4810,27.8222378478424,-16.6319773933058,"munyumbwe","80209_3",1.34372018315485
